ent history for donk,,,,,,
1 - 92 of 92,,,,,,
#,Event,Team,Maps,KPR - DPR,plus_minus,Rating3.0
2nd,IEM Rio 2026,Spirit,plus_minus,0.79 - 0.69,34,1.22
7-8th,BLAST Open Rotterdam 2026,Spirit,8,1.07 - 0.69,63,1.61
5-8th,ESL Pro League Season 23 Finals,Spirit,2,0.54 - 0.87,-13,0.82
1-2nd,ESL Pro League Season 23 Stage 2,Spirit,7,0.88 - 0.63,37,1.41
3rd,IEM Kraków 2026,Spirit,12,0.92 - 0.69,62,1.38
5-8th,BLAST Bounty 2026 Season 1 Finals,Spirit,3,0.75 - 0.75,0,1.10
1-8th,BLAST Bounty 2026 Season 1,Spirit,4,1.07 - 0.65,34,1.76
3-4th,StarLadder Budapest Major 2025,Spirit,9,0.99 - 0.59,82,1.57
5-6th,BLAST Rivals 2025 Season 2,Spirit,7,0.84 - 0.71,24,1.25
7-8th,IEM Chengdu 2025,Spirit,10,0.81 - 0.69,28,1.20
5-8th,ESL Pro League Season 22,Spirit,9,0.87 - 0.68,34,1.29
7-8th,BLAST Open London 2025,Spirit,9,1.06 - 0.65,80,1.59
9-16th,Esports World Cup 2025,Spirit,3,0.80 - 0.62,11,1.21
1st,BLAST Bounty 2025 Season 2 Finals,Spirit,7,0.95 - 0.64,49,1.46
1-8th,BLAST Bounty 2025 Season 2,Spirit,6,0.73 - 0.70,3,1.11
1st,IEM Cologne 2025,Spirit,13,0.97 - 0.68,90,1.50
5-8th,BLAST.tv Austin Major 2025,Spirit,7,0.94 - 0.66,47,1.51
1st,PGL Astana 2025,Spirit,15,1.00 - 0.65,112,1.52
3-4th,BLAST Rivals 2025 Season 1,Spirit,9,0.96 - 0.69,49,1.37
3-4th,BLAST Open Lisbon 2025,Spirit,14,0.96 - 0.63,104,1.40
3-4th,ESL Pro League Season 21,Spirit,12,0.92 - 0.65,75,1.47
2nd,IEM Katowice 2025,Spirit,17,0.93 - 0.69,87,1.41
1st,BLAST Bounty 2025 Season 1 Finals,Spirit,8,0.92 - 0.71,40,1.44
1-8th,BLAST Bounty 2025 Season 1,Spirit,4,1.14 - 0.59,39,1.82
1st,Perfect World Shanghai Major 2024,Spirit,14,0.99 - 0.66,97,1.45
7th,Perfect World Shanghai Major 2024 Europe RMR B,Spirit,10,0.90 - 0.69,45,1.39
2nd,BLAST Premier World Final 2024,Spirit,12,0.85 - 0.70,40,1.21
5-6th,BLAST Premier Fall Final 2024,Spirit,8,0.78 - 0.73,10,1.15
5-8th,ESL Pro League Season 20,Spirit,17,0.95 - 0.64,113,1.41
