#,Event,Team,Maps,KPR - DPR,plus_minus,Rating3.0
12-14th,PGL Bucharest 2026,BC.Game,10,0.71 - 0.61,22,01.08
13-16th,HyperX Roman Imperium Cup VI,BC.Game,3,0.75 - 0.66,6,1.00
5-6th,Parken Challenger Championship Season 1,BC.Game,11,0.81 - 0.65,37,1.20
3-4th,RES Showdown 3: BLAST Premier Rising Event,BC.Game,4,0.84 - 0.71,11,1.19
13-16th,IEM Kraków 2026,BC.Game,5,0.79 - 0.71,8,1.10
5-8th,IEM Kraków 2026 Stage 1,BC.Game,6,0.81 - 0.67,16,1.19
13-16th,IEM Rio 2026 Closed Qualifier,BC.Game,5,0.99 - 0.62,44,1.33
5-8th,JB Pro League Season 1,BC.Game,4,0.78 - 0.63,13,01.08
3-4th,ESL Challenger League Season 50 Europe Finals,BC.Game,2,0.64 - 0.64,0,01.03
9-16th,CCT Season 3 Europe Series 11,BC.Game,3,0.48 - 0.68,-11,0.67
9-12th,Red Bull GIBAWAY JOURNEY 2025,BC.Game,7,0.72 - 0.57,22,1.21
3-4th,Skyesports Chennai Esports Global Championship 2025 Europe Open Qualifier,BC.Game,6,0.75 - 0.65,14,01.08
5-8th,CCT Season 3 Europe Series 9,BC.Game,6,0.59 - 0.63,-5,0.82
17-24th,ESL Challenger League Season 50 Europe Cup 3,BC.Game,7,0.89 - 0.61,40,1.42
1st,ESL Challenger League Season 50 Europe Cup 2,BC.Game,14,0.93 - 0.54,115,1.42
5-8th,European Pro League Series 2,BC.Game,4,0.76 - 0.55,17,1.21
9-12th,ESL Challenger League Season 50 Europe Cup 1,BC.Game,11,0.85 - 0.58,62,1.30
2nd,Exort The Proving Grounds Season 3,BC.Game,17,0.82 - 0.59,89,1.23
5-8th,BLAST.tv Austin Major 2025,FaZe,7,0.72 - 0.58,22,1.20
6-8th,BLAST.tv Austin Major 2025 Stage 2,FaZe,8,0.64 - 0.64,1,01.08
9-12th,IEM Dallas 2025,FaZe,7,0.72 - 0.60,18,01.07
12-14th,Perfect World Shanghai Major 2024 Europe RMR A,Falcons,6,0.66 - 0.66,0,0.93
7-8th,ESL Challenger Katowice 2024,Falcons,3,0.71 - 0.74,-2,0.98
13-16th,Thunderpick World Championship 2024,Falcons,4,0.84 - 0.70,12,1.33
9-16th,BLAST Premier Spring Showdown 2024,Falcons,3,0.60 - 0.78,-11,0.90
2nd,ESL Pro League Season 18,Natus Vincere,13,0.80 - 0.64,54,1.19 *
5-8th,Gamers8 2023,Natus Vincere,5,0.73 - 0.67,7,1.09 *
7-8th,IEM Cologne 2023,Natus Vincere,10,0.70 - 0.57,36,1.14 *
4-6th,BLAST Premier Fall Groups 2023,Natus Vincere,12,0.76 - 0.59,56,1.18 *
9-11th,BLAST.tv Paris Major 2023,Natus Vincere,8,0.69 - 0.68,2,1.07 *
3-4th,IEM Rio 2023,Natus Vincere,7,0.82 - 0.59,50,1.24 *
1st,BLAST.tv Paris Major 2023 Europe RMR A,Natus Vincere,4,0.73 - 0.51,24,1.22 *
3-4th,ESL Pro League Season 17,Natus Vincere,21,0.80 - 0.61,105,1.25 *
3-4th,IEM Katowice 2023,Natus Vincere,10,0.68 - 0.60,21,1.12 *
4-6th,BLAST Premier Spring Groups 2023,Natus Vincere,13,0.74 - 0.56,61,1.20 *
3-4th,Born To Be Brave 2022 - NAVI United24 Charity Event,One Shot,1,0.61 - 0.86,-7,0.62 *
5-6th,BLAST Premier World Final 2022,Natus Vincere,8,0.76 - 0.66,22,1.10 *
5-6th,BLAST Premier Fall Final 2022,Natus Vincere,8,0.82 - 0.64,40,1.19 *
5-8th,IEM Rio Major 2022,Natus Vincere,10,0.76 - 0.61,42,1.18 *
1st,IEM Road to Rio 2022 Europe RMR B,Natus Vincere,4,0.93 - 0.55,37,1.48 *
2nd,Kinguin Legends 2022,Edward's Team,3,0.75 - 0.74,2,1.09 *
5-8th,ESL Pro League Season 16,Natus Vincere,19,0.77 - 0.61,82,1.18 *
1-3rd,BLAST Premier Fall Groups 2022,Natus Vincere,2,0.69 - 0.60,5,1.19 *
2nd,IEM Cologne 2022,Natus Vincere,15,0.84 - 0.61,95,1.25 *
