#,Event,Team,Maps,KPR - DPR,#ERROR!,Rating3.0
-,BLAST Rivals 2026 Season 1,Vitality,3,1.03 - 0.55,32,1.38
1st,IEM Rio 2026,Vitality,15,0.91 - 0.56,115,1.39
1st,BLAST Open Rotterdam 2026,Vitality,11,0.86 - 0.49,85,1.47
1st,PGL Cluj-Napoca 2026,Vitality,15,0.82 - 0.52,97,1.39
1st,IEM Kraków 2026,Vitality,12,1.02 - 0.50,140,1.59
3-4th,BLAST Bounty 2026 Season 1 Finals,Vitality,5,0.69 - 0.66,3,01.04
1-8th,BLAST Bounty 2026 Season 1,Vitality,4,0.93 - 0.49,42,1.56
1st,StarLadder Budapest Major 2025,Vitality,13,0.89 - 0.57,83,1.38
3-4th,BLAST Rivals 2025 Season 2,Vitality,11,0.74 - 0.62,31,1.21
2nd,IEM Chengdu 2025,Vitality,19,0.79 - 0.59,85,1.29
1st,ESL Pro League Season 22,Vitality,17,0.86 - 0.55,111,1.31
2nd,BLAST Open London 2025 Finals,Vitality,7,0.86 - 0.62,34,1.34
1-2nd,BLAST Open London 2025,Vitality,9,0.73 - 0.62,24,1.17
4th,Esports World Cup 2025,Vitality,10,0.79 - 0.64,30,1.28
3-4th,BLAST Bounty 2025 Season 2 Finals,Vitality,4,0.81 - 0.62,20,1.15
1-8th,BLAST Bounty 2025 Season 2,Vitality,4,0.93 - 0.44,41,1.52
3-4th,IEM Cologne 2025,Vitality,8,0.76 - 0.68,14,01.08
1st,BLAST.tv Austin Major 2025,Vitality,13,0.89 - 0.54,84,1.38
1st,IEM Dallas 2025,Vitality,13,0.80 - 0.59,58,1.27
1st,BLAST Rivals 2025 Season 1,Vitality,12,0.81 - 0.64,44,1.30
1st,IEM Melbourne 2025,Vitality,13,0.84 - 0.59,71,1.37
1st,BLAST Open Lisbon 2025,Vitality,14,0.87 - 0.55,88,1.50
1st,ESL Pro League Season 21,Vitality,15,0.88 - 0.54,101,1.44
1st,IEM Katowice 2025,Vitality,12,0.91 - 0.57,93,1.37
5-8th,BLAST Bounty 2025 Season 1 Finals,Vitality,2,0.70 - 0.70,0,01.05
1-8th,BLAST Bounty 2025 Season 1,Vitality,4,1.09 - 0.57,46,1.76
5-8th,Perfect World Shanghai Major 2024,Vitality,7,0.85 - 0.50,50,1.39
1-2nd,Perfect World Shanghai Major 2024 Europe RMR A,Vitality,4,0.85 - 0.53,25,1.37
